Sample Name,Group,16_00437621316582,17_021539190698192,18_038469966740735,18_29915765289428,18_63043828897158,18_87945690818552,18_943778909567843,19_040493421214805,19_474581287930274,19_818649976409603,20_027125485809925,20_27273847984408,20_735655993963665,21_03210803631831,21_71582930980667,23_046802155681995,23_113828661682174,23_250824633399212,26_026412194363427,27_036017014047825,28_018061675130813,29_026455176139415,30_006957264128975,31_019984632988365,31_89889413000135,32_00170043491149,32_33321580412351,32_60752108307145,33_02202720738772,34_00636606343038,36_02339586738144,36_650054482047494,36_92306640239029,37_036021571234905,37_41388027361174,37_6612417965136,38_03511365400825,38_55888463060589,39_033349225225116,39_706763348791256,40_475118622101256,41_04415283341386,42_03601686935325,43_03951897059186,44_03017734760852,45_008868089156195,46_00791785884077,47_03943043390883,48_051959836155405,49_03112913130199,51_04295441696511,55_05111068510396,57_063219036778044,58_07318378169249,58_92344871141535,59_06488587433791,59_535157062450864,59_71109243767769,59_900685519345515,60_0649814509761,60_50004167163544,60_576456648602075,60_74803674544688,61_044760937989814,61_47279262432062,62_03885118015778,63_0277958134563,65_04361452584185,67_06572643052529,68_06440681522896,69_08061619640962,70_08472827423351,71_07052534702412,72_05928309819996,73_06423039220043,75_0527162274278,76_06363393036085,76_29814992361801,76_44232564270045,77_06072271852115,80_06379658147432,81_07685748954505,82_07718224047525,83_08584474209657,85_09121514164325,89_06388226580643,91_04449265203984,93_0722331054906,95_06213227075666,103_0848354647663,107_09354877148769,118_0824567602173,137_1428004492334,138_14489433986319,142_08631868840266,149_10260909246887,155_1276431584651,179_15655540047732,181_03270615346293,203_95757167880078,204_96471575425133,231_02825983202965,235_09867371065695,235_23102056103093,281_0744483600849,297_08713715467803,329_8584703933104,330_853184655146,355_0824946748945,356_07955734463087,357_06544940746784,358_0521308575993,369_1637409906499,371_10167280665445,372_08009757053134,373_08051427041875,374_05372959944924,375_04686435781304,429_0919133669904,430_05858392387927,431_0338918422529,443_04198484160145,445_0972017708983,447_05657737924486,517_0325219174968,518_0392964367509,533_0672614483142,575_8644098061574
Id_1,0,0.0,328.3333333333333,15256.666666666666,0.0,0.0,1862.6666666666667,142.66666666666666,199622.0,357931.0,0.0,10978.0,3673.3333333333335,683.3333333333334,6229.0,728.6666666666666,136.33333333333334,0.0,0.0,608.3333333333334,354.6666666666667,188.66666666666666,7328.666666666667,5034.0,462.0,0.0,58008.666666666664,0.0,0.0,10856.666666666666,560.0,0.0,302.3333333333333,556.6666666666666,298023.6666666667,0.0,88086.0,2753.3333333333335,333.6666666666667,4554.0,368.0,0.0,1966.6666666666667,987.0,3128.6666666666665,674.3333333333334,7868.0,256.6666666666667,9151.0,322.3333333333333,174.33333333333334,438.3333333333333,3295.3333333333335,270.0,0.0,0.0,73221.66666666667,0.0,0.0,0.0,2851.3333333333335,0.0,0.0,0.0,900.0,0.0,0.0,1195.0,84.33333333333333,92.33333333333333,0.0,3253.0,262.6666666666667,0.0,0.0,169.66666666666666,246.0,0.0,0.0,0.0,0.0,0.0,152.66666666666666,0.0,0.0,0.0,569.0,194.0,0.0,553.0,0.0,52.333333333333336,155.33333333333334,125.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4503.0,338.0,0.0,0.0,0.0,0.0,0.0,153.0,2552.3333333333335,197.0,0.0,0.0,0.0,0.0,138.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id_2,0,0.0,287.6666666666667,10707.333333333334,0.0,0.0,1628.6666666666667,0.0,204483.0,358549.6666666667,230.33333333333334,10346.0,2208.6666666666665,1087.3333333333333,5952.666666666667,566.6666666666666,0.0,0.0,0.0,834.3333333333334,525.6666666666666,198.0,7709.333333333333,4852.333333333333,430.6666666666667,0.0,45953.666666666664,0.0,0.0,12247.0,456.6666666666667,0.0,314.6666666666667,527.6666666666666,302704.3333333333,0.0,73406.66666666667,2497.0,701.6666666666666,4792.0,262.6666666666667,0.0,5080.0,1329.3333333333333,8262.333333333334,980.6666666666666,10236.666666666666,303.3333333333333,1495.3333333333333,0.0,0.0,471.3333333333333,3123.0,789.6666666666666,0.0,0.0,84895.66666666667,0.0,0.0,0.0,3134.3333333333335,0.0,0.0,0.0,3056.6666666666665,0.0,246.66666666666666,687.6666666666666,0.0,268.0,175.33333333333334,11135.666666666666,713.3333333333334,239.0,0.0,192.33333333333334,2030.3333333333333,156.0,0.0,0.0,77.0,0.0,514.6666666666666,0.0,0.0,0.0,794.3333333333334,0.0,45.333333333333336,276.3333333333333,95.0,0.0,130.0,630.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,266.6666666666667,0.0,0.0,0.0,0.0,0.0,86.33333333333333,2122.6666666666665,221.66666666666666,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id_3,0,0.0,242.0,8218.0,0.0,0.0,1581.0,0.0,205679.66666666666,365831.6666666667,0.0,10286.333333333334,3166.6666666666665,886.0,5851.666666666667,341.6666666666667,0.0,0.0,0.0,0.0,288.0,239.33333333333334,7567.666666666667,4872.333333333333,531.6666666666666,0.0,47333.666666666664,0.0,0.0,9319.666666666666,411.0,0.0,279.6666666666667,550.0,300537.6666666667,0.0,84572.66666666667,2797.0,91.66666666666667,5138.333333333333,382.0,0.0,2665.0,422.3333333333333,6031.333333333333,517.6666666666666,7638.333333333333,260.6666666666667,1366.3333333333333,0.0,0.0,394.3333333333333,3874.6666666666665,683.6666666666666,0.0,70.33333333333333,126674.33333333333,0.0,0.0,0.0,4827.333333333333,0.0,0.0,0.0,3912.6666666666665,0.0,338.6666666666667,2710.0,220.33333333333334,177.66666666666666,0.0,6149.333333333333,403.6666666666667,226.66666666666666,0.0,209.66666666666666,1570.0,0.0,0.0,0.0,132.0,0.0,185.66666666666666,0.0,0.0,0.0,285.3333333333333,0.0,0.0,718.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,4218.333333333333,317.6666666666667,0.0,0.0,0.0,0.0,0.0,122.33333333333333,2355.0,99.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id_4,1,0.0,207.0,4295.0,0.0,110.66666666666667,1788.6666666666667,286.6666666666667,202050.0,356764.6666666667,391.3333333333333,8225.0,1447.0,1301.6666666666667,5739.333333333333,336.0,0.0,0.0,0.0,0.0,756.6666666666666,201.66666666666666,7494.0,5023.666666666667,1806.3333333333333,0.0,51609.0,0.0,0.0,6612.0,458.0,0.0,300.6666666666667,542.0,297874.3333333333,0.0,72148.66666666667,2378.3333333333335,82.33333333333333,5026.333333333333,435.3333333333333,0.0,5946.666666666667,509.6666666666667,11374.666666666666,1127.0,8024.333333333333,303.3333333333333,4367.0,201.0,0.0,275.6666666666667,2873.0,805.3333333333334,168.0,1048.3333333333333,285700.0,66.0,0.0,3092.0,18613.333333333332,0.0,84.33333333333333,154.0,2647.0,228.0,501.3333333333333,671.3333333333334,0.0,267.0,0.0,6918.0,466.3333333333333,269.3333333333333,0.0,295.3333333333333,1568.0,103.0,0.0,0.0,287.6666666666667,0.0,154.33333333333334,0.0,0.0,0.0,243.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,134.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,204.0,0.0,0.0,0.0,268.6666666666667,211.0,0.0,1437.6666666666667,292.3333333333333,125.33333333333333,0.0,0.0,0.0,205.33333333333334,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id_5,1,0.0,225.66666666666666,4950.666666666667,0.0,0.0,1638.3333333333333,0.0,204870.66666666666,367041.3333333333,0.0,10601.666666666666,1970.6666666666667,1160.3333333333333,6006.333333333333,388.6666666666667,0.0,0.0,0.0,0.0,407.3333333333333,182.66666666666666,7538.333333333333,5016.333333333333,309.6666666666667,0.0,48964.333333333336,0.0,0.0,4071.6666666666665,397.3333333333333,0.0,290.6666666666667,506.0,306074.0,0.0,66312.66666666667,2513.3333333333335,576.6666666666666,4392.333333333333,153.66666666666666,0.0,2970.3333333333335,338.0,5391.0,406.0,8575.666666666666,272.3333333333333,1042.3333333333333,0.0,0.0,157.0,3140.6666666666665,395.3333333333333,0.0,0.0,57421.666666666664,0.0,0.0,0.0,2141.6666666666665,0.0,0.0,0.0,1348.6666666666667,0.0,212.66666666666666,443.3333333333333,0.0,98.0,0.0,4084.6666666666665,307.6666666666667,281.0,0.0,174.0,224.66666666666666,0.0,0.0,0.0,0.0,0.0,288.3333333333333,0.0,0.0,0.0,241.0,0.0,0.0,42.666666666666664,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,4011.3333333333335,336.0,340.3333333333333,0.0,0.0,0.0,0.0,130.0,2256.6666666666665,238.0,0.0,0.0,0.0,0.0,177.33333333333334,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id_6,0,0.0,260.6666666666667,10396.0,0.0,281.6666666666667,1695.3333333333333,0.0,204293.33333333334,362702.6666666667,0.0,10230.666666666666,0.0,355.0,5803.333333333333,485.0,100.33333333333333,0.0,0.0,246.33333333333334,315.0,191.66666666666666,7442.0,4790.0,380.3333333333333,0.0,54368.666666666664,0.0,0.0,4836.0,418.3333333333333,0.0,261.6666666666667,520.0,303712.3333333333,0.0,75489.66666666667,2572.0,672.0,4037.0,143.33333333333334,0.0,1598.0,540.0,2739.3333333333335,381.0,7565.666666666667,217.66666666666666,4400.333333333333,197.0,0.0,194.0,3025.0,291.3333333333333,0.0,0.0,74075.33333333333,0.0,0.0,0.0,2805.0,0.0,0.0,0.0,734.3333333333334,0.0,0.0,1004.0,0.0,0.0,0.0,2159.0,211.66666666666666,0.0,0.0,167.66666666666666,309.6666666666667,0.0,0.0,0.0,41.333333333333336,0.0,248.0,0.0,0.0,0.0,151.0,0.0,0.0,706.6666666666666,0.0,0.0,40.333333333333336,204.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,4608.0,367.6666666666667,0.0,0.0,0.0,0.0,0.0,163.66666666666666,2557.3333333333335,358.3333333333333,140.66666666666666,0.0,0.0,0.0,242.33333333333334,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id_7,0,0.0,283.3333333333333,7760.333333333333,0.0,134.0,1714.0,0.0,204309.33333333334,365808.0,0.0,10447.666666666666,2628.0,1039.6666666666667,5917.333333333333,564.3333333333334,139.0,0.0,0.0,0.0,292.0,194.33333333333334,7931.0,4984.333333333333,435.3333333333333,0.0,52599.333333333336,0.0,0.0,11773.0,468.0,0.0,300.6666666666667,529.0,303505.0,0.0,70998.33333333333,2580.6666666666665,284.0,4482.0,110.66666666666667,0.0,4849.333333333333,507.0,2804.3333333333335,355.0,9744.333333333334,335.6666666666667,725.3333333333334,0.0,0.0,435.3333333333333,2900.6666666666665,362.0,0.0,0.0,83208.0,0.0,0.0,0.0,3130.0,0.0,0.0,0.0,1011.3333333333334,0.0,141.0,646.6666666666666,0.0,304.3333333333333,186.0,15566.666666666666,973.3333333333334,202.66666666666666,0.0,187.0,552.0,0.0,0.0,0.0,0.0,0.0,97.66666666666667,0.0,0.0,0.0,272.6666666666667,0.0,0.0,413.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.0,185.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1193.0,392.0,152.33333333333334,0.0,0.0,0.0,256.3333333333333,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id_8,1,0.0,240.33333333333334,6044.666666666667,0.0,154.33333333333334,1856.3333333333333,274.6666666666667,199668.0,362450.6666666667,0.0,9479.666666666666,1540.3333333333333,475.0,6228.333333333333,572.0,0.0,0.0,0.0,0.0,527.3333333333334,152.66666666666666,7628.333333333333,5020.0,361.0,0.0,54089.333333333336,0.0,0.0,11302.666666666666,563.3333333333334,0.0,316.6666666666667,541.3333333333334,299034.3333333333,0.0,78968.0,2587.0,420.0,4928.666666666667,402.3333333333333,0.0,4342.0,379.3333333333333,5762.666666666667,471.3333333333333,8151.333333333333,235.33333333333334,1942.3333333333333,0.0,0.0,445.0,2984.6666666666665,401.3333333333333,0.0,0.0,61875.666666666664,0.0,0.0,0.0,2299.0,0.0,0.0,0.0,469.0,0.0,0.0,447.3333333333333,0.0,211.33333333333334,0.0,7003.0,509.3333333333333,173.33333333333334,0.0,47.0,282.0,0.0,0.0,0.0,0.0,188.33333333333334,49.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.33333333333334,0.0,0.0,0.0,3804.0,271.0,0.0,0.0,0.0,294.0,300.6666666666667,131.33333333333334,2163.0,325.0,36.666666666666664,0.0,0.0,233.33333333333334,292.3333333333333,0.0,51.0,0.0,0.0,226.33333333333334,40.0,0.0,0.0,195.66666666666666,39.0,0.0,0.0,0.0,0.0
Id_9,0,0.0,250.0,8293.666666666666,0.0,113.33333333333333,1664.6666666666667,0.0,203786.0,370810.0,0.0,10148.333333333334,1790.6666666666667,1335.0,6289.333333333333,691.0,0.0,0.0,0.0,0.0,236.0,198.66666666666666,7629.0,4941.666666666667,285.0,0.0,51052.333333333336,0.0,0.0,4197.0,369.0,0.0,310.3333333333333,564.3333333333334,300798.3333333333,0.0,90512.66666666667,2793.6666666666665,296.3333333333333,4538.333333333333,286.0,0.0,2814.3333333333335,399.0,2334.0,307.6666666666667,8703.0,292.6666666666667,837.6666666666666,0.0,0.0,207.0,3632.6666666666665,402.3333333333333,0.0,0.0,43930.666666666664,0.0,0.0,0.0,1713.0,0.0,0.0,0.0,1012.6666666666666,0.0,52.0,829.6666666666666,0.0,204.0,0.0,8453.333333333334,564.6666666666666,211.66666666666666,0.0,143.66666666666666,481.0,0.0,0.0,0.0,0.0,0.0,103.66666666666667,0.0,96.33333333333333,0.0,287.0,0.0,0.0,313.0,0.0,0.0,0.0,36.333333333333336,0.0,0.0,217.66666666666666,0.0,0.0,0.0,2475.3333333333335,192.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1335.6666666666667,367.3333333333333,143.33333333333334,0.0,0.0,0.0,245.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id_10,1,0.0,222.66666666666666,6390.666666666667,0.0,171.33333333333334,1690.0,0.0,204899.33333333334,369298.6666666667,0.0,10109.666666666666,1120.6666666666667,969.6666666666666,6048.666666666667,563.6666666666666,0.0,0.0,0.0,0.0,347.0,217.0,9386.333333333334,4945.333333333333,460.0,0.0,46585.0,0.0,0.0,3111.6666666666665,329.3333333333333,0.0,293.3333333333333,526.0,304548.0,0.0,86114.33333333333,2701.0,609.3333333333334,4214.666666666667,365.6666666666667,0.0,2003.0,428.6666666666667,3304.6666666666665,391.6666666666667,14819.0,391.0,12038.333333333334,361.6666666666667,0.0,165.66666666666666,3265.0,463.3333333333333,0.0,0.0,83156.66666666667,0.0,0.0,0.0,3152.6666666666665,0.0,0.0,0.0,862.6666666666666,0.0,0.0,659.3333333333334,421.0,0.0,0.0,2862.6666666666665,234.66666666666666,546.6666666666666,0.0,292.6666666666667,35.0,0.0,0.0,0.0,0.0,699.6666666666666,213.0,0.0,0.0,0.0,511.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,119.66666666666667,0.0,0.0,0.0,0.0,0.0,133.33333333333334,4598.666666666667,343.0,0.0,0.0,0.0,0.0,0.0,150.0,2567.3333333333335,313.6666666666667,86.33333333333333,0.0,0.0,0.0,250.66666666666666,0.0,194.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
